image_name,status,tip_y,tip_x,tip_pixels,atrium_pixels,overlap_pixels,tip_area_inside_ratio,atrium_coverage_ratio,iou_tip_atrium,tip_inside_atrium,centerline_inside_ratio,tip_dx,tip_dy,tip_angle,bbox_dy_top,bbox_dy_bottom,bbox_dx_left,bbox_dx_right,bbox_dy_top_norm,bbox_dy_bottom_norm,bbox_dx_left_norm,bbox_dx_right_norm,bbox_vertical_inside,bbox_horizontal_inside,bbox_inside_atrium,edge_dy_top_min,edge_dy_top_mean,edge_dy_bottom_min,edge_dy_bottom_mean,edge_dx_left_min,edge_dx_left_mean,edge_dx_right_min,edge_dx_right_mean,edge_dy_top_min_norm,edge_dy_top_mean_norm,edge_dy_bottom_min_norm,edge_dy_bottom_mean_norm,edge_dx_left_min_norm,edge_dx_left_mean_norm,edge_dx_right_min_norm,edge_dx_right_mean_norm,region_nearest_euclidean,region_nearest_dy,region_nearest_dx,region_nearest_dist_norm_h,region_nearest_dist_norm_w,mean_tip_radius,mean_prox_radius,tip_length_measured_px,tip_depth_in_atrium_px,tip_depth_in_atrium_norm,tip_y_norm_to_atrium,tip_x_norm_to_atrium,distance_from_optimal_depth,tip_to_atrium_dist_norm
IMG-0023-00001.png,success,397.0,424.0,3079,22722,0,0.0,0.0,0.0,0,0.0,0.19135687594539064,-0.9815204608967814,-1.3782519309276318,-216.0,259.0,54.0,47.0,-0.8503937007874016,1.0196850393700787,0.39705882352941174,0.34558823529411764,False,True,False,-243.0,-154.19444274902344,248.0,296.0555419921875,,,,,-0.9566929133858267,-0.6070647352323757,0.9763779527559056,1.1655729999692421,,,,,5.0,5.0,0.0,0.01968503937007874,0.03676470588235294,6.885748993593557,13.269213468771861,200.0,0.0,0.0,-0.04330708661417323,0.4411764705882353,-0.37664041994750663,0.04330708661417323
IMG-0025-00001.png,success,555.0,434.0,3154,18486,888,0.28154724159797084,0.04803635183382019,0.04279105628373169,1,0.2736318407960199,-0.049895982337633614,-0.9987543530715248,-1.6207130392696403,-149.0,174.0,41.0,44.0,-0.6234309623430963,0.7280334728033473,0.4019607843137255,0.43137254901960786,False,True,False,-155.0,-145.8333282470703,173.0,181.55555725097656,-16.0,14.181818008422852,3.0,26.66666603088379,-0.6485355648535565,-0.6101812897366958,0.7238493723849372,0.7596466830584794,-0.1568627450980392,0.139037431455126,0.029411764705882353,0.26143790226356656,0.0,0.0,0.0,0.0,0.0,7.0,12.469800822720826,200.0,54.118063444618166,0.22643541190216807,0.24267782426778242,0.5,-0.09065550906555075,0.0
IMG-0027-00001.png,success,656.0,443.0,3265,23147,3265,1.0,0.14105499632781787,0.14105499632781787,1,1.0,-0.3128218223519969,-0.949811760728836,-1.888958860164979,19.0,86.0,55.0,18.0,0.07983193277310924,0.36134453781512604,0.3819444444444444,0.125,True,True,True,15.0,20.68055534362793,85.0,124.02777862548828,19.0,62.582088470458984,6.0,10.67164134979248,0.06302521008403361,0.08689308967910894,0.35714285714285715,0.5211251202751609,0.13194444444444445,0.4345978366004096,0.041666666666666664,0.07410862048467,0.0,0.0,0.0,0.0,0.0,15.2875635559737,8.235258098836601,113.44922379207611,113.44922379207611,0.4766774108910761,0.5672268907563025,0.7569444444444444,0.06722689075630252,0.0
IMG-0029-00001.png,success,476.0,433.0,2814,16336,668,0.23738450604122247,0.04089128305582762,0.03614327453738773,1,0.22388059701492538,-0.07715378524712475,-0.9970191374723758,-1.6480268686001005,-155.0,142.0,66.0,33.0,-0.7788944723618091,0.7135678391959799,0.5365853658536586,0.2682926829268293,False,True,False,-156.0,-115.27999877929688,140.0,188.75999450683594,6.0,24.034482955932617,-15.0,2.568965435028076,-0.7839195979899497,-0.5792964762778737,0.7035175879396985,0.9485426859639997,0.04878048780487805,0.19540230045473672,-0.12195121951219512,0.020885897845756715,0.0,0.0,0.0,0.0,0.0,6.664021902286574,13.194482470891034,200.0,44.083576327441534,0.22152550918312328,0.2562814070351759,0.6747967479674797,-0.07705192629815735,0.0
IMG-0031-00001.png,success,521.0,449.0,3353,20162,2835,0.8455114822546973,0.1406110504910227,0.1370889748549323,0,0.9025641025641026,-0.40397417804324964,-0.91477032172284,-1.9866535080036547,-25.0,-5.0,64.0,41.0,-0.1388888888888889,-0.027777777777777776,0.4050632911392405,0.25949367088607594,False,True,False,-26.0,70.77777862548828,-9.0,26.94444465637207,-28.0,42.35911560058594,-9.0,52.850830078125,-0.14444444444444443,0.39320988125271267,-0.05,0.14969135920206705,-0.17721518987341772,0.26809566835813886,-0.056962025316455694,0.33449892454509494,0.0,0.0,0.0,0.0,0.0,7.694563585112633,16.23370581466297,200.00000000000003,0.0,0.0,0.9833333333333333,0.689873417721519,0.48333333333333334,0.005555555555555556
IMG-0033-00001.png,success,538.0,416.0,2870,18958,653,0.22752613240418118,0.03444456166262264,0.030838252656434476,1,0.22388059701492538,0.1807876749131246,-0.9835220818381422,-1.3890090507954302,-161.0,220.0,37.0,31.0,-0.5962962962962963,0.8148148148148148,0.4157303370786517,0.34831460674157305,False,True,False,-161.0,-137.13636779785156,206.0,223.0454559326172,0.0,15.313725471496582,-3.0,21.13725471496582,-0.5962962962962963,-0.5079124733253761,0.762962962962963,0.8260942812319155,0.0,0.17206433114041103,-0.033707865168539325,0.23749724398838,0.0,0.0,0.0,0.0,0.0,6.165861225064767,12.70132848278907,200.0,44.40645903878567,0.1644683668103173,0.16296296296296298,0.4943820224719101,-0.17037037037037037,0.0
IMG-0035-00001.png,success,647.0,410.0,2524,31723,2524,1.0,0.07956372348138574,0.07956372348138574,1,1.0,-0.1816775894000625,-0.9833580845223043,-1.7534885022787867,25.0,50.0,35.0,88.0,0.08896797153024912,0.17793594306049823,0.1977401129943503,0.4971751412429379,True,True,True,25.0,86.78181457519531,45.0,122.83636474609375,33.0,42.946861267089844,30.0,62.16908264160156,0.08896797153024912,0.30883208033877335,0.1601423487544484,0.4371400880643906,0.1864406779661017,0.24263763427734375,0.1694915254237288,0.351237755037297,0.0,0.0,0.0,0.0,0.0,5.864594100907726,15.898338549139233,200.0,200.0,0.7117437722419929,0.8042704626334519,0.4745762711864407,0.304270462633452,0.0
IMG-0037-00001.png,success,626.0,448.0,2705,14495,1451,0.5364140480591497,0.10010348395998621,0.09213283383071941,1,0.5527638190954773,0.3963759622613167,-0.9180882169648278,-1.1632302078877699,-94.0,131.0,18.0,31.0,-0.3836734693877551,0.5346938775510204,0.25,0.4305555555555556,False,True,False,-96.0,-45.25,120.0,150.375,-6.0,17.139129638671875,-3.0,24.252174377441406,-0.39183673469387753,-0.1846938775510204,0.4897959183673469,0.6137755102040816,-0.08333333333333333,0.23804346720377603,-0.041666666666666664,0.33683575524224174,0.0,0.0,0.0,0.0,0.0,5.9395665568968505,14.284375306073487,199.99999999999997,111.58630676591795,0.45545431333027736,0.4448979591836735,0.3611111111111111,0.0,0.0
IMG-0039-00001.png,success,487.0,424.0,3371,15273,865,0.25660041530703054,0.056635893406665354,0.048652905112773495,1,0.24875621890547264,-0.08758045864573998,-0.9961573823660707,-1.6584891414414957,-158.0,189.0,23.0,40.0,-0.6448979591836734,0.7714285714285715,0.26136363636363635,0.45454545454545453,False,True,False,-191.0,-136.84616088867188,187.0,240.73077392578125,-4.0,7.719298362731934,-9.0,16.36842155456543,-0.7795918367346939,-0.558555758729273,0.763265306122449,0.9825745874521684,-0.045454545454545456,0.08771929957649925,-0.10227272727272728,0.18600479039278897,0.0,0.0,0.0,0.0,0.0,7.566832598869931,11.415564892948568,200.0,49.089799137069804,0.20036652709008082,0.20408163265306123,0.4659090909090909,-0.12925170068027195,0.0
IMG-0041-00001.png,success,576.0,360.0,3225,16065,934,0.2896124031007752,0.05813881107998755,0.05088254521682284,1,0.2835820895522388,0.024319694511089042,-0.9997041658235716,-1.5464742327203043,-152.0,163.0,32.0,35.0,-0.672566371681416,0.7212389380530974,0.3404255319148936,0.3723404255319149,False,True,False,-158.0,-107.35713958740234,159.0,211.75,-1.0,12.703125,-6.0,18.515625,-0.6991150442477876,-0.4750315910947006,0.7035398230088495,0.9369469026548672,-0.010638297872340425,0.13513962765957446,-0.06382978723404255,0.1969747340425532,0.0,0.0,0.0,0.0,0.0,7.178538237567709,14.509384221605545,200.0,56.09498826357746,0.24820791267069675,0.24778761061946902,0.425531914893617,-0.08554572271386447,0.0
